Enabled,Id,CSI,UnitMultiplier,Exchange,Currency,OurDescription,CSI_Description
1,VNKI,1784,1,OSE,JPY,Nikkei 225 Volatility Index,Nikkei 225 Volatility Index
1,EU-DJ-TECH,1244,1,EUREX,EUR,Dow Jones Euro STOXX Technology,Euro STOXX Technology
1,DIVDAX,20101,1,EUREX,EUR,DivDAX Price Index,DivDAX
1,SILVER-mini,1103,1,COMEX,USD,COMEX MINY Silver,miNY Silver
1,EU-BANKS-DIVI,20467,1,EUREX,EUR,EURO STOXX Banks Index Dividend Futures,Euro STOXX Banks Dividend Index
1,EU-HOUSE,1638,1,EUREX,EUR,Dow Jones STOXX 600 Personal & Household Goods,STOXX Europe 600 Personal & Househould Goods
1,CH10,299,1,EUREX,CHF,Swiss Federal Long-Term Bonds,10-Year Swiss Govt Bond
0,SGX,,1,,,,
1,CHEESE,1556,1,CME,USD,Cheese,Cash Settled Cheese
1,EURIBOR,546,1,EUREX,EUR,Three Month EURIBOR,3-Month EURIBOR (EUREX)
1,COPPER-mini,1104,1,COMEX,USD,COMEX MINY Copper,miNY Copper
1,MILKDRY,1226,1,CME,USD,NON FAT DRY MILK INDEX,Non-Fat Dry Milk
1,EU-DJ-FOOD,1631,1,EUREX,EUR,Dow Jones Euro STOXX Food&Beverages,Euro STOXX Food & Beverage
1,R1000GROWTH-mini,20308,1,CME,USD,E-mini Russell 1000 Growth Index Futures,e-mini Russell 1000 Growth Index
1,EU-DJ-HEALTH,1400,1,EUREX,EUR,Dow Jones Euro STOXX Healthcare,Euro STOXX Healthcare
1,TWD-mini,20549,1,SGX,USD,SGX Taiwan Dollar in US Dollar Futures (Mini),mini TWD/USD
1,R1000mini,1032,1,CME,USD,E-mini Russell 1000 Index Futures,e-mini Russell 1000 Index
1,INR,1851,1,CME,USD,Indian Rupee,Indian Rupee
1,EUROSTX-LARGE,20122,1,EUREX,EUR,Euro Stoxx Large,EURO STOXX Large Index
1,INR-mini,1852,1,CME,USD,Indian Rupee,E-Micro INR / USD
0,USIRS2ERIS,,1,,,,
1,BUTTER,973,1,CME,USD,CME Cash-Settled Butter Futures,Cash Settled Butter
1,STEEL,1362,1,COMEX,USD,Hot-Rolled Coil Steel Index,US Midwest Domestic Hot Rolled Coil Steel
1,HIGHYIELD,20344,1,CFE,USD,iBoxx iShares $ High Yield Corporate Bond Index TR,iBoxx iShares High Yield Corporate Bond Index
1,OMX,600,1,EUREX,EUR,OMX Helsinki 25 Index,OMX Helsinki 25
1,GICS,266,1,CME,USD,S&P-GSCI Index,Goldman Sachs Commodity Index
1,EU-DJ-MEDIA,1402,1,EUREX,EUR,Dow Jones Euro STOXX Media Index,Euro STOXX Media
1,KRWUSD,1058,0.001,CME,USD,Korean Won,Korean Won
1,TWD,20546,1,SGX,USD,SGX Taiwan Dollar in US Dollar Futures (Full-Sized),TWD/USD
1,EU-DJ-CHEM,1623,1,EUREX,EUR,Dow Jones Euro STOXX Chemicals,Euro STOXX Chemicals
0,MSCIRUSSIA,,1,,,,
1,EU-DJ-INDUSTRY,1317,1,EUREX,EUR,Dow Jones Euro STOXX Industrial Goods&Services,Euro STOXX Industrial Goods & Services
1,NASBIO-mini,1030,1,CME,USD,CME E-Mini NASDAQ Biotechnology,e-mini Nasdaq Bio Index
0,CNH-onshore,,1,,,,
1,EU-DJ-RETAIL,1633,1,EUREX,EUR,Dow Jones Euro STOXX Retail,Euro STOXX Retail
1,MILKWET,403,1,CME,USD,Class IV Milk - 200k lbs,Class IV Milk
1,IG,20345,1,CFE,USD,iBoxx iShares $ Investment Grade Corporate Bond Index TR,iBoxx iShares Investment Grade Corporate Bond Index
1,GAS-PEN,838,1,NYMEX,USD,Natural Gas Penultimate Financial Futures Index,Natural Gas Financial (Penultimate)
1,EU-DJ-FINANCE,1625,1,EUREX,EUR,Dow Jones Euro STOXX Financial Services Index,Euro STOXX Financial Services
1,BEL20,342,1,EURONEXT-BRUSSELS,EUR,BEL 20 Index (BFX@),Belgian 20 Index
1,BOVESPA,1825,1,CME,USD,Bovespa Index - USD,Ibovespa (USD Denominated)
1,PLN,950,1,CME,USD,Polish zloty,Polish Zloty/US Dollar
1,JGB-mini,1783,1,OSE,JPY,Mini 10 Year JGB,10-Year Japanese Govt Bond Mini
0,GOLD-CHINA,,1,,,,
1,GASOILINE-mini,988,1,NYMEX,USD,NYMEX MINY Gasoline RBOB Index,mini Gasoline-Reformulated Blendstock
1,ETHANOL,962,1,CBT,USD,Ethanol CME,Ethanol
1,HOUSE-US,1018,1,CME,USD,Housing Index Composite,Composite Housing Index
1,HOUSE-SD,1026,1,CME,USD,San Diego Housing Index,San Diego Housing Index
1,HOUSE-SF,1027,1,CME,USD,San Francisco Housing Index,San Francisco Housing Index
1,HEATOIL-mini,989,1,NYMEX,USD,NYMEX MINY Heating Oil Index,e-mini NY Harbor ULSD
1,HOUSE-CG,1020,1,CME,USD,Chicago Housing Index,Chicago Housing Index
1,HOUSE-DN,1021,1,CME,USD,Denver Housing Index,Denver Housing Index
1,HOUSE-LV,1022,1,CME,USD,Las Vegas Housing Index,Las Vegas Housing Index
1,HOUSE-LA,1023,1,CME,USD,Los Angeles Housing Index,Las Angeles Housing Index
1,HUF,1122,0.01,CME,USD,Hungarian forint,Hungarian Forint
1,USIRS30,1833,1,CBT,USD,30-Year Deliverable Interest Rate Swap Futures,30yr Deliverable Interest Rate Swap
1,USIRS2,1842,1,CBT,USD,2-Year Deliverable Interest Rate Swap Futures,2yr Deliverable Interest Rate Swap
1,HOUSE-BO,1019,1,CME,USD,Boston Housing Index,Boston Housing Index
1,CLP,20294,1,CME,USD,Chilean peso,Chilean Peso
1,CZK,1120,0.01,CME,USD,Czech koruna,Czech Koruna
1,LIBOR1,142,1,CME,USD,1 Month LIBOR (Int. Rate),1-Month Eurodollar
1,PLZEUR,951,1,CME,EUR,Polish zloty EURO,Polish Zloty/Euro
1,IRS,1119,1,CME,USD,Israeli shekel,Isreali Shekel
1,HOUSE-MI,1024,1,CME,USD,Miami Housing Index,Miami Housing Index
1,NIKKEI-JPY,913,1,CME,JPY,Yen Denominated Nikkei 225 Index,Nikkei 225 Index (Yen)
1,HOUSE-NY,1025,1,CME,USD,New York Housing Index,New York Housing Index
1,SP500-GROWTH,401,1,CME,USD,S&P 500 / Citigroup Growth Index,S&P 500 BARRA Growth Index
1,SP600-SMALL,736,1,CME,USD,E-Mini S&P SmallCap 600 Futures,e-mini S&P 600 Smallcap Index
1,BRENT,1078,1,CLEAR,USD,NYMEX Brent Financial Futures Index,Brent Crude Financ.
1,PIPELINE,1346,1,CLEAR,USD,Gulf Coast ULSD (Platts) Up-Down Futures,Up-Down GC USLD vs NYMEX HO Spread
1,COTTON,1115,1,CLEAR,USD,NYMEX Cotton index,Cotton
1,URANIUM,1174,1,COMEX,USD,NYMEX Uranium Index,UxC Uranium U3O8
0,TOPIX30,,1,,,,
0,DIVDAX-DIVI,,1,,,,
0,AUDJPY,,1,,,,
0,AUD-SGX,,1,,,,
0,KRWJPY,,1,,,,
0,JPY-SGX-TITAN,,1,,,,
0,JPY-SGX,,1,,,,
1,COTTON2,1144,0.01,ICE-US,USD,Cotton #2,Cotton #2
1,SUGAR11,1140,0.01,ICE-US,USD,Sugar #11,Sugar #11
1,OJ,1150,0.01,ICE-US,USD,Orange Juice (FCOJ-A),Frozen Orange Juice
1,EUA,980,1,ICE-EU,EUR,ECX EU carbon emissions allowance futures,ECX EUA Emissions
1,STERLING3,173,1,ICE-EU-FIN,GBP,3 month Sterling interest rate,3 Month Sterling
1,FTSE100,209,1,ICE-EU-FIN,GBP,FTSE100 Index,FTSE 100 Index
1,DX,1205,1,ICE-US,USD,US Dollar Index,U.S. Dollar Index
1,GASOIL,134,1,ICE-EU,USD,ICE-EU Low Sulphur Gasoil,Low Sulphur Gasoil
1,COCOA,1148,1,ICE-US,USD,Cocoa NY,Cocoa
1,COFFEE,1146,0.01,ICE-US,USD,Coffee,Coffee
1,ROBUSTA,816,1,ICE-EU-AGS,USD,Robusta Coffee,Robusta Coffee
1,SPI200,728,1,ASX,AUD,ASX SPI200 Index,SPI 200 Index
1,CORN_mini,1192,1
1,SOYBEAN_mini,1194,1
1,WHEAT_mini,1190,1
1,JPY_micro,1817,1
1,RUBBER,486,1
1,VIX_mini,20382,1
1,CANOLA,58,1
1,AUD_micro,1416,1
1,EUR_micro,1415,1
1,GBP_micro,1414,1
1,CAD_micro,1819,1
1,CHF_micro,1818,1
1,COCOA_LDN,49,1
1,BITCOIN5,20310,1
1,MILLINGWHEAT,517,1
1,MSCILATIN,20125,1
1,AUS3,615,1
1,MSCIAUS,20169,1
1,MSCIEUR,20105,1
1,MSCIEMEA,20126,1
1,AUS10,616,1
1,ZAR,1060,1
1,SUGAR5,199,1
1,LONGGILT,174,1
1,RAPESEED,358,1
1,RUBBER3,1444,1
1,MSCIINDIA,20174,1
1,USDKRW,601,1
1,AUS5,20534,1
1,CH3M,185,1
1,MSCIEM,20460,1
1,COAL,1390,1
1,EURIBOR2,565,1,ICE-EU-FIN,EUR,Three Month EURIBOR,3-Month EURIBOR (EURONEXT/LIFFE)

