CommercialCsiNumber,CommercialDeliveryMonth,UACsiNumber,SymbolCommercial,SymbolUA,ExchangeSymbol,Exchange,Name,SessionType,CloseField,SessionGroup,IsActive,TerminalPointValue,FullPointValue,Currency,ContractSize,Units,MinimumTick,TickValue,DeliveryMonths,StartDate,EndDate,LinkSymbol,TradingTime,OhlcOffset,Footnote,ConversionFactorCode,HasImplied5,HasCurrentDayVolume,HasCurrentDayOpenInterest,HasKnownExpirationDates,LastTotalVolume
100782,0,1782,JM1,JM1,JGBLM,OSE,"10-Year Japanese Govt Bond Mini",ETH,Last,"JM0,JM1,JM2",1,100,100000,JPY,"JPY10000000","Points",5,500,IIVIIVIIVIIV,2012-06-11,2021-07-30,"","15:30 - 05:30",,"",3,0,1,1,1,0
100783,0,1783,JM2,JM2,JGBLM,OSE,"10-Year Japanese Govt Bond Mini",Combined,Settlement,"JM0,JM1,JM2",1,100,100000,JPY,"JPY10000000","Points",5,500,IIVIIVIIVIIV,2012-06-11,2021-07-30,"","15:30 - 15:02",,"",3,0,1,1,1,0
100784,0,1784,JNV,JNV,NKVI,OSE,"Nikkei 225 Volatility Index",,Settlement,"",1,100,10000,JPY,"JPY10000 x Index","Points",5,500,VVVVVVVVVVVV,2012-02-27,2021-07-30,"","09:00 - 15:15",,"",2,0,1,1,1,25
100822,0,1822,JTD,JTD,TPDIV,OSE,"TOPIX Dividend Index",,Settlement,"",1,100,10000,JPY,"JPY 10000 x Index","points",1,100,IIIIIIIIIIIV,2012-10-18,2021-07-30,"","09:00 - 23:30",,"",2,0,1,1,1,0
100953,0,1953,JT5,JT5,JGBSL,OSE,"JGB 20 Year",RTH,Settlement,"JT5,JT6,JTB",1,100,10000,JPY,"JPY 100000000","points",1,100,IIVIIVIIVIIV,2014-04-04,2021-07-30,"","09:00 - 15:15",,"",2,0,1,1,1,0
100954,0,1954,JT6,JT6,JGBSL,OSE,"JGB 20 Year",ETH,Last,"JT5,JT6,JTB",1,100,10000,JPY,"JPY 100000000","points",1,100,IIVIIVIIVIIV,2014-04-04,2021-07-30,"","16:30 - 03:00",,"",2,0,1,1,1,0
100955,0,1955,JTB,JTB,JGBSL,OSE,"JGB 20 Year",Combined,Settlement,"JT5,JT6,JTB",1,100,10000,JPY,"JPY 100000000","points",1,100,IIVIIVIIVIIV,2014-04-04,2021-07-30,"","16:30 - 15:15",,"",2,0,1,1,1,0
200005,0,20005,JP8,JP8,JN400,OSE,"JPX-Nikkei Index 400",RTH,Settlement,"JP8,JP7,JPX",1,100,100,JPY,"JPY100 x index","points",5,500,IIVIIVIIVIIV,2015-01-05,2021-07-30,"","09:00 - 15:15",,"",0,0,1,1,1,8644
200006,0,20006,JP7,JP7,JN400,OSE,"JPX-Nikkei Index 400",ETH,Last,"JP8,JP7,JPX",1,100,100,JPY,"JPY100 x index","points",5,500,IIVIIVIIVIIV,2015-01-05,2021-07-30,"","16:30 - 03:00",,"",0,0,1,1,1,2818
200007,0,20007,JPX,JPX,JN400,OSE,"JPX-Nikkei Index 400",Combined,Settlement,"JP8,JP7,JPX",1,100,100,JPY,"JPY100 x index","points",5,500,IIVIIVIIVIIV,2015-01-05,2021-07-30,"","16:30 - 15:15",,"",0,0,1,1,1,11462
200008,0,20008,JM4,JM4,MOTHE,OSE,"TSE Mothers Index",RTH,Settlement,"JM4,JM3,JMO",1,10,1000,JPY,"JPY1000 x index","points",50,500,IIVIIVIIVIIV,2016-07-19,2021-07-30,"","08:45 - 15:15",,"",2,0,1,1,1,3925
200009,0,20009,JM3,JM3,MOTHE,OSE,"TSE Mothers Index",ETH,Last,"JM4,JM3,JMO",1,10,1000,JPY,"JPY1000 x index","points",50,500,IIVIIVIIVIIV,2016-07-19,2021-07-30,"","16:30 - 05:30",,"",2,0,1,1,1,814
200010,0,20010,JMO,JMO,MOTHE,OSE,"TSE Mothers Index",Combined,Settlement,"JM4,JM3,JMO",1,10,1000,JPY,"JPY1000 x index","points",50,500,IIVIIVIIVIIV,2016-07-19,2021-07-30,"","16:30 - 15:15",,"",2,0,1,1,1,4739
200011,0,20011,JR8,JR8,REIT,OSE,"TSE REIT Index",RTH,Settlement,"JR8,JR7,JRE",1,10,1000,JPY,"JPY1000 x index","points",50,500,IIVIIVIIVIIV,2016-07-15,2021-07-30,"","09:00 - 15:15",,"",2,0,1,1,1,125
200012,0,20012,JR7,JR7,REIT,OSE,"TSE REIT Index",ETH,Last,"JR8,JR7,JRE",1,10,1000,JPY,"JPY1000 x index","points",50,500,IIVIIVIIVIIV,2016-07-15,2021-07-30,"","16:30 - 03:00",,"",2,0,1,1,1,0
200013,0,20013,JRE,JRE,REIT,OSE,"TSE REIT Index",Combined,Settlement,"JR8,JR7,JRE",1,10,1000,JPY,"JPY1000 x index","points",50,500,IIVIIVIIVIIV,2014-12-03,2021-07-30,"","16:30 - 15:15",,"",2,0,1,1,1,125
