CommercialCsiNumber,CommercialDeliveryMonth,UACsiNumber,SymbolCommercial,SymbolUA,ExchangeSymbol,Exchange,Name,SessionType,CloseField,SessionGroup,IsActive,TerminalPointValue,FullPointValue,Currency,ContractSize,Units,MinimumTick,TickValue,DeliveryMonths,StartDate,EndDate,LinkSymbol,TradingTime,OhlcOffset,Footnote,ConversionFactorCode,HasImplied5,HasCurrentDayVolume,HasCurrentDayOpenInterest,HasKnownExpirationDates,LastTotalVolume
100522,0,1522,FB,FB,FB,SGX,"Fuel Oil 380cst",Combined,Settlement,"FB,FB2,FB1",0,1,100,USD,"100 tonnes","USD/tonne",10,10,VVVVVVVVVVVV,2010-02-25,2018-01-15,"","20:15 - 19:55",,"",2,0,1,0,1,
100523,0,1523,FB2,FB2,FB,SGX,"Fuel Oil 380cst",RTH,Settlement,"FB,FB2,FB1",0,1,100,USD,"100 tonnes","USD/tonne",10,10,VVVVVVVVVVVV,2010-02-25,2018-01-15,"","08:00 - 19:55",,"",2,0,1,0,1,
100524,0,1524,FB1,FB1,FB,SGX,"Fuel Oil 380cst",ETH,Last,"FB,FB2,FB1",0,1,100,USD,"100 tonnes","USD/tonne",10,10,VVVVVVVVVVVV,2010-02-25,2018-01-15,"","20:15 - 04:45",,"",2,0,1,0,1,
100576,0,1576,A50,A50,CN,SGX,"China A50 Index",Combined,Settlement,"A50,A5T,A51",1,1,1,USD,"$1 x Index","points",1,1,SSVSSVSSVSSV,2010-08-20,2021-08-11,"","17:00 - 16:30",,"",0,0,1,0,1,289543
100577,0,1577,A5T,A5T,CN,SGX,"China A50 Index",RTH,Settlement,"A50,A5T,A51",1,1,1,USD,"$1 x Index","points",1,1,SSVSSVSSVSSV,2010-10-20,2021-08-11,"","09:00 - 16:30",,"",0,0,1,0,1,238055
100578,0,1578,A51,A51,CN,SGX,"China A50 Index",ETH,Last,"A50,A5T,A51",1,1,1,USD,"$1 x Index","points",1,1,SSVSSVSSVSSV,2010-10-21,2021-08-11,"","17:00 - 04:45",,"",0,0,1,0,1,22362
100749,0,1749,SEX,SEX,,SGX,"Euro Stoxx 50 Index",Combined,Settlement,"SEX,SXT,SX1",0,10,10,USD,"$10 x Index","Points",1,10,SSVSSVSSVSSV,2012-03-30,2013-10-25,"","07:45 - 02:00",,"",0,0,1,0,1,
100750,0,1750,SXT,SXT,,SGX,"Euro Stoxx 50 Index",RTH,Settlement,"SEX,SXT,SX1",0,10,10,USD,"$10 x Index","Points",1,10,SSVSSVSSVSSV,2012-03-30,2013-10-25,"","07:45 - 13:00",,"",0,0,1,0,1,
100751,0,1751,SX1,SX1,,SGX,"Euro Stoxx 50 Index",ETH,Last,"SEX,SXT,SX1",0,10,10,USD,"$10 x Index","Points",1,10,SSVSSVSSVSSV,2012-03-30,2013-10-25,"","13:20 - 02:00",,"",0,0,1,0,1,
100793,0,1793,SND,SND,ND,SGX,"Nikkei Stock Average Dividend Point Index",Combined,Settlement,"SND,SN1,SN2",1,100,10000,JPY,"JPY10000 x Index","Points",10,1000,IIIIIIIIIIIV,2012-07-13,2021-08-11,"","14:55 - 14:25",,"",2,0,1,0,1,0
100794,0,1794,SN1,SN1,ND,SGX,"Nikkei Stock Average Dividend Point Index",ETH,Last,"SND,SN1,SN2",1,100,10000,JPY,"JPY10000 x Index","Points",10,1000,IIIIIIIIIIIV,2012-07-13,2021-08-11,"","14:55 - 04:45",,"",2,0,1,0,1,0
100795,0,1795,SN2,SN2,ND,SGX,"Nikkei Stock Average Dividend Point Index",RTH,Settlement,"SND,SN1,SN2",1,100,10000,JPY,"JPY10000 x Index","Points",10,1000,IIIIIIIIIIIV,2012-07-13,2021-08-11,"","07:30 - 14:25",,"",2,0,1,0,1,0
100797,0,1797,SAX,SAX,AP,SGX,"MSCI Asia Apex 50 Index",Combined,Settlement,"SAX,SA1,SA2",0,5,50,USD,"USD 50 x Index","points",5,25,SSVSSVSSVSSV,2012-08-27,2015-12-11,"","07:55 - 02:00",,"",1,0,1,0,1,
100798,0,1798,SA1,SA1,AP,SGX,"MSCI Asia Apex 50 Index",ETH,Last,"SAX,SA1,SA2",0,5,50,USD,"USD 50 x Index","points",5,25,SSVSSVSSVSSV,2012-08-27,2015-12-11,"","18:00 - 02:00",,"",1,0,1,0,1,
100799,0,1799,SA2,SA2,AP,SGX,"MSCI Asia Apex 50 Index",RTH,Settlement,"SAX,SA1,SA2",0,5,50,USD,"USD 50 x Index","points",5,25,SSVSSVSSVSSV,2012-08-27,2015-12-11,"","07:40 - 17:10",,"",1,0,1,0,1,
100800,0,1800,SDX,SDX,ID,SGX,"MSCI Indonesia Index",Combined,Settlement,"SDX,SD1,SD2",0,2,2,USD,"USD 2 x Index","points",5,10,SSVSSVSSVSSV,2012-08-24,2021-02-01,"","17:55 - 17:25",,"",0,0,1,0,1,
100801,0,1801,SD1,SD1,ID,SGX,"MSCI Indonesia Index",ETH,Last,"SDX,SD1,SD2",0,2,2,USD,"USD 2 x Index","points",5,10,SSVSSVSSVSSV,2012-08-24,2021-02-01,"","17:55 - 04:45",,"",0,0,1,0,1,
100802,0,1802,SD2,SD2,ID,SGX,"MSCI Indonesia Index",RTH,Settlement,"SDX,SD1,SD2",0,2,2,USD,"USD 2 x Index","points",5,10,SSVSSVSSVSSV,2012-08-24,2021-02-01,"","09:00 - 17:25",,"",0,0,1,0,1,
100931,0,1931,SEF,SEF,FEF,SGX,"TSI Iron Ore CFR China (62% Fe Fines) Index",Combined,Settlement,"SEF,S1F,S2F",1,1,100,USD,"100 tonnes","USD/tonne",1,1,VVVVVVVVVVVV,2013-04-08,2021-08-11,"","20:15 - 19:55",,"",2,0,1,0,1,63752
100932,0,1932,S1F,S1F,FEF,SGX,"TSI Iron Ore CFR China (62% Fe Fines) Index",RTH,Settlement,"SEF,S1F,S2F",1,1,100,USD,"100 tonnes","USD/tonne",1,1,VVVVVVVVVVVV,2014-09-09,2021-08-11,"","08:00 - 19:55",,"",2,0,1,0,1,58343
100933,0,1933,S2F,S2F,FEF,SGX,"TSI Iron Ore CFR China (62% Fe Fines) Index",ETH,Last,"SEF,S1F,S2F",1,1,100,USD,"100 tonnes","USD/tonne",1,1,VVVVVVVVVVVV,2014-09-09,2021-08-11,"","20:15 - 04:45",,"",2,0,1,0,1,13698
100940,0,1940,SIU,SIU,IU,SGX,"INR/USD",Combined,Settlement,"SIU,SI6,SI5",1,0.2,200,USD,"INR2000000","US cents/100 Rupees",10,2,VVVVVVVVVVVV,2014-01-07,2021-08-11,"","19:50 - 19:30",,"",3,0,1,0,1,55975
200031,0,20031,SUS,SUS,US,SGX,"USD/SGD",Combined,Settlement,"SUS,SU2,SU1",1,2.5,25000,SGD,"USD 25000","SGD/USD",1,2.5,VVVVVVVVVVVV,2015-01-02,2021-08-11,"","19:50 - 19:30",,"",4,0,1,0,1,155
200032,0,20032,SU2,SU2,US,SGX,"USD/SGD",RTH,Settlement,"SUS,SU2,SU1",1,2.5,25000,SGD,"USD 25000","SGD/USD",1,2.5,VVVVVVVVVVVV,2015-01-02,2021-08-11,"","07:25 - 19:30",,"",4,0,1,0,1,415
200033,0,20033,SU1,SU1,US,SGX,"USD/SGD",ETH,Last,"SUS,SU2,SU1",1,2.5,25000,SGD,"USD 25000","SGD/USD",1,2.5,VVVVVVVVVVVV,2015-01-02,2021-08-11,"","19:50 - 04:45",,"",4,0,1,0,1,7
200034,0,20034,SUC,SUC,UC,SGX,"USD/CNH",Combined,Settlement,"SUC,SU4,SU3",1,10,100000,CNY,"USD100000","CNY/USD",1,10,VVVVVVVVVVVV,2015-01-02,2021-08-11,"","18:15 - 17:55",,"",4,0,1,0,1,36875
200035,0,20035,SU4,SU4,UC,SGX,"USD/CNH",RTH,Settlement,"SUC,SU4,SU3",1,10,100000,CNY,"USD100000","CNY/USD",1,10,VVVVVVVVVVVV,2015-01-02,2021-08-11,"","07:25 - 17:55",,"",4,0,1,0,1,20252
200036,0,20036,SU3,SU3,UC,SGX,"USD/CNH",ETH,Last,"SUC,SU4,SU3",1,10,100000,CNY,"USD100000","CNY/USD",1,10,VVVVVVVVVVVV,2015-01-02,2021-08-11,"","18:15 - 04:45",,"",4,0,1,0,1,9540
200037,0,20037,SCH,SCH,CH,SGX,"MSCI China Free Index",Combined,Settlement,"SCH,SC2,SC1",0,5,5,USD,"USD5 x Index","points",2,10,SSVSSVSSVSSV,2016-05-03,2020-12-11,"","17:00 - 16:30",,"",0,0,1,0,1,
200038,0,20038,SC2,SC2,CH,SGX,"MSCI China Free Index",RTH,Settlement,"SCH,SC2,SC1",0,5,5,USD,"USD5 x Index","points",2,10,SSVSSVSSVSSV,2016-05-03,2020-12-11,"","09:00 - 16:30",,"",0,0,1,0,1,
200039,0,20039,SC1,SC1,CH,SGX,"MSCI China Free Index",ETH,Last,"SCH,SC2,SC1",0,5,5,USD,"USD5 x Index","points",2,10,SSVSSVSSVSSV,2016-05-03,2020-12-11,"","17:00 - 04:45",,"",0,0,1,0,1,
200040,0,20040,SVF,SVF,CVF,SGX,"Baltic Capesize Time Charter Average (4 Routes)",Combined,Settlement,"SVF,SV2,SV1",0,1,1,USD,"1 day","USD/day",1,1,VVVVVVVVVVVV,2015-01-02,2020-01-03,"","20:15 - 20:00",,"",0,0,1,0,1,
200041,0,20041,SV2,SV2,CVF,SGX,"Baltic Capesize Time Charter Average (4 Routes)",RTH,Settlement,"SVF,SV2,SV1",0,1,1,USD,"1 day","USD/day",1,1,VVVVVVVVVVVV,2015-01-02,2020-01-03,"","07:25 - 20:00",,"",0,0,1,0,1,
200042,0,20042,SV1,SV1,CVF,SGX,"Baltic Capesize Time Charter Average (4 Routes)",ETH,Last,"SVF,SV2,SV1",0,1,1,USD,"1 day","USD/day",1,1,VVVVVVVVVVVV,2018-01-23,2020-01-02,"","20:15 - 04:45",,"",0,0,1,0,1,
200043,0,20043,SWF,SWF,SWF,SGX,"Baltic Capesize Time Charter Average (5 Routes)",Combined,Settlement,"SWF,SWD,SWN",0,1,1,USD,"1 day","USD/day",1,1,VVVVVVVVVVVV,2015-10-05,2020-01-03,"","20:15 - 20:00",,"",0,0,1,0,1,
200044,0,20044,SWD,SWD,SWF,SGX,"Baltic Capesize Time Charter Average (5 Routes)",RTH,Settlement,"SWF,SWD,SWN",0,1,1,USD,"1 day","USD/day",1,1,VVVVVVVVVVVV,2015-10-05,2020-01-03,"","07:25 - 20:00",,"",0,0,1,0,1,
