CommercialCsiNumber,CommercialDeliveryMonth,UACsiNumber,SymbolCommercial,SymbolUA,ExchangeSymbol,Exchange,Name,SessionType,CloseField,SessionGroup,IsActive,TerminalPointValue,FullPointValue,Currency,ContractSize,Units,MinimumTick,TickValue,DeliveryMonths,StartDate,EndDate,LinkSymbol,TradingTime,OhlcOffset,Footnote,ConversionFactorCode,HasImplied5,HasCurrentDayVolume,HasCurrentDayOpenInterest,HasKnownExpirationDates,LastTotalVolume
142,64,9944,EM,EM#,032741,CFTC,"COT F+O Libor Net Values ",,Settlement,"",0,,,USD,"","Contracts",1,,,1995-03-21,2009-04-07,"","",,"",0,0,0,0,0,
149,63,2546,SP,SP%,138741,CFTC,"COT S&P 500 Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1982-12-30,2021-09-14,"","",,"",0,0,0,0,0,
149,64,9946,SP,SP#,138741,CFTC,"COT F+O S&P 500 Index Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2021-09-14,"","",,"",0,0,0,0,0,
188,63,2550,CL,CL%,067651,CFTC,"COT Crude Oil Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1986-01-15,2014-07-08,"","",,"",0,0,0,0,0,
188,64,9950,CL,CL#,067651,CFTC,"COT F+O Crude Oil Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2014-07-08,"","",,"",0,0,0,0,0,
191,64,9951,NG,NG#,023651,CFTC,"COT F+O Natural Gas Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
191,63,2551,NG,NG%,023651,CFTC,"COT Natural Gas Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1990-04-12,2022-01-04,"","",,"",0,0,0,0,0,
199,64,0,LSU,LSU#,,CFTC,"COT ICE White Sugar F+O (Disaggregated)",,Settlement,"",1,,,,"","",1,,,2017-01-03,2022-01-04,"","",,"",0,0,0,0,0,
199,63,0,LSU,LSU%,,CFTC,"COT ICE White Sugar Futures (Disaggregated)",,Settlement,"",1,,,,"","",1,,,2017-01-03,2022-01-04,"","",,"",0,0,0,0,0,
207,64,9961,TU2,TU#,042601,CFTC,"COT F+O 2-year T-notes Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
207,63,2561,TU2,TU%,042601,CFTC,"COT 2-year T-note Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1990-06-29,2022-01-04,"","",,"",0,0,0,0,0,
224,63,2554,HU,HU%,111652,CFTC,"COT Unleaded Gas Data",,Settlement,"",0,,,USD,"","Contracts",1,,,1984-12-31,2006-12-05,"","",,"",0,0,0,0,0,
224,64,9954,HU,HU#,111652,CFTC,"COT F+O Unleaded Gas Data",,Settlement,"",0,,,USD,"","Contracts",1,,,1995-03-21,2006-12-05,"","",,"",0,0,0,0,0,
250,63,2547,TY2,TY%,043602,CFTC,"COT 10-year T-note Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1983-10-31,2022-01-04,"","",,"",0,0,0,0,0,
250,64,9947,TY2,TY#,043602,CFTC,"COT F+O 10-year T-notes Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
251,64,9955,FV,FV#,044601,CFTC,"COT F+O 5-year T-notes Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
251,63,2555,FV,FV%,044601,CFTC,"COT 5-year T-note Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1988-05-31,2022-01-04,"","",,"",0,0,0,0,0,
253,64,9956,MB,MB#,,CFTC,"COT F+O Muni Note Net Values",,Settlement,"",0,,,USD,"","Contracts",1,,,1995-03-21,2001-01-16,"","",,"",0,0,0,0,0,
