CommercialCsiNumber,CommercialDeliveryMonth,UACsiNumber,SymbolCommercial,SymbolUA,ExchangeSymbol,Exchange,Name,SessionType,CloseField,SessionGroup,IsActive,TerminalPointValue,FullPointValue,Currency,ContractSize,Units,MinimumTick,TickValue,DeliveryMonths,StartDate,EndDate,LinkSymbol,TradingTime,OhlcOffset,Footnote,ConversionFactorCode,HasImplied5,HasCurrentDayVolume,HasCurrentDayOpenInterest,HasKnownExpirationDates,LastTotalVolume
100244,0,1244,DEY,DEY,FESY,EUREX,"Euro STOXX Technology",,Settlement,"",1,0.5,50,EUR,"EUR 50 x Index","points",10,5,IIVIIVIIVIIV,2007-10-23,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,816
100245,0,1245,DJY,DJY,FSTY,EUREX,"STOXX Europe 600 Technology",,Settlement,"",1,0.5,50,EUR,"EUR 50 x Index","points",10,5,IIVIIVIIVIIV,2007-10-23,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,2407
100313,0,1313,DEA,DEA,FESA,EUREX,"Euro STOXX Automobiles & Parts",,Settlement,"",1,0.5,50,EUR,"EUR 50 x Index","Points",10,5,IIVIIVIIVIIV,2008-03-31,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,101
100314,0,1314,DJA,DJA,FSTA,EUREX,"STOXX Europe 600 Automobiles & Parts",,Settlement,"",1,0.5,50,EUR,"EUR 50 x Index","Points",10,5,IIVIIVIIVIIV,2008-03-31,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,3651
100315,0,1315,DEB,DEB,FESB,EUREX,"Euro STOXX Banks",,Settlement,"",1,0.5,50,EUR,"EUR 50 x Index","Points",5,2.5,IIVIIVIIVIIV,2003-06-23,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,208175
100316,0,1316,DJB,DJB,FSTB,EUREX,"STOXX Europe 600 Banks",,Settlement,"",1,0.5,50,EUR,"EUR 50 x Index","Points",5,2.5,IIVIIVIIVIIV,2003-06-23,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,15981
100317,0,1317,DEG,DEG,FESG,EUREX,"Euro STOXX Industrial Goods & Services",,Settlement,"",1,0.5,50,EUR,"EUR 50 x Index","points",10,5,IIVIIVIIVIIV,2003-06-23,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,22
100318,0,1318,DJG,DJG,FSTG,EUREX,"STOXX Europe 600 Industrial Goods & Services",,Settlement,"",1,0.5,50,EUR,"EUR 50 x Index","points",10,5,IIVIIVIIVIIV,2004-06-22,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,2006
100319,0,1319,DES,DES,FESS,EUREX,"Euro STOXX Basic Resources",,Settlement,"",1,0.5,50,EUR,"EUR 50 x Index","points",10,5,IIVIIVIIVIIV,2003-06-23,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,15
100320,0,1320,DJS,DJS,FSTS,EUREX,"STOXX Europe 600 Basic Resources",,Settlement,"",1,0.5,50,EUR,"EUR 50 x Index","points",10,5,IIVIIVIIVIIV,2004-06-22,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,7314
100321,0,1321,DEW,DEW,FESU,EUREX,"Euro STOXX Utilities",,Settlement,"",1,0.5,50,EUR,"EUR 50 x index","points",10,5,IIVIIVIIVIIV,2008-03-31,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,261
100322,0,1322,DJW,DJW,FSTU,EUREX,"STOXX Europe 600 Utilities",,Settlement,"",1,0.5,50,EUR,"EUR 50 x index","points",10,5,IIVIIVIIVIIV,2008-03-31,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,2253
100337,0,1337,DED,DED,FEDV,EUREX,"DJ Euro STOXX Select Dividend 30 Index",,Settlement,"",1,0.1,10,EUR,"EUR 10 x Index","points",50,5,IIVIIVIIVIIV,2007-07-23,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,2486
100338,0,1338,SLI,SLI,FSLI,EUREX,"SLI Swiss Leader Index",,Settlement,"",1,0.1,10,CHF,"CHF 10 x Index","points",50,5,IIVIIVIIVIIV,2007-10-22,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,0
100400,0,1400,DEH,DEH,FESH,EUREX,"Euro STOXX Healthcare",,Settlement,"",1,0.5,50,EUR,"EUR 50 x Index","points",10,5,IIVIIVIIVIIV,2003-06-23,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,62
100401,0,1401,DJH,DJH,FSTH,EUREX,"STOXX Europe 600 Healthcare",,Settlement,"",1,0.5,50,EUR,"EUR 50 x Index","points",10,5,IIVIIVIIVIIV,2003-06-23,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,489
100402,0,1402,DEM,DEM,FESM,EUREX,"Euro STOXX Media",,Settlement,"",1,0.5,50,EUR,"EUR 50 x Index","points",10,5,IIVIIVIIVIIV,2003-06-23,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,43
100403,0,1403,DJM,DJM,FSTM,EUREX,"STOXX Europe 600 Media",,Settlement,"",1,0.5,50,EUR,"EUR 50 x Index","points",10,5,IIVIIVIIVIIV,2004-06-22,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,802
100421,0,1421,DEI,DEI,FESI,EUREX,"Euro STOXX Insurance",,Settlement,"",1,0.5,50,EUR,"EUR 50 x Index","points",10,5,IIVIIVIIVIIV,2009-03-25,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,119
100422,0,1422,DJI,DJI,FSTI,EUREX,"STOXX Europe 600 Insurance",,Settlement,"",1,0.5,50,EUR,"EUR 50 x Index","points",10,5,IIVIIVIIVIIV,2003-05-15,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,4081
100426,0,1426,DEV,DEV,FEXD,EUREX,"DJ Euro STOXX 50 Index Dividend",,Settlement,"",1,1,100,EUR,"EUR 100 x Index","points",10,10,IIIIIIIIIIIV,2009-04-20,2022-01-07,"","08:30 - 22:00",,"",2,0,1,0,1,17658
100490,0,1490,BTP,BTP,FBTP,EUREX,"Long-Term Italian Govt Bond-BTP",,Settlement,"",1,10,1000,EUR,"EUR 100000","points",1,10,IIVIIVIIVIIV,2009-09-14,2022-01-07,"","08:00 - 19:00",,"",2,0,1,0,1,109920
100491,0,1491,B2P,B2P,FBTP,EUREX,"Long-Term Italian Govt Bond-BTP",,Last,"",1,10,1000,EUR,"EUR 100000","points",1,10,IIVIIVIIVIIV,2009-09-01,2022-01-07,"","08:00 - 19:00",,"",2,0,1,0,1,114125
100521,0,1521,FVS,FVS,FVS,EUREX,"VSTOXX Mini",,Settlement,"",1,1,100,EUR,"EUR 100 x Index","Points",5,5,VVVVVVVVVVVV,2009-05-19,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,50589
100622,0,1622,DJC,DJC,FSTC,EUREX,"STOXX Europe 600 Chemicals",,Settlement,"",1,0.5,50,EUR,"EUR 50 x Index","points",1,0.5,IIVIIVIIVIIV,2011-01-11,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,206
100623,0,1623,DEC,DEC,FESC,EUREX,"Euro STOXX Chemicals",,Settlement,"",1,0.5,50,EUR,"EUR 50 x Index","points",1,0.5,IIVIIVIIVIIV,2011-01-11,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,17
100624,0,1624,DJF,DJF,FSTF,EUREX,"STOXX Europe 600 Financial Services",,Settlement,"",1,0.5,50,EUR,"EUR 50 x Index","points",1,0.5,IIVIIVIIVIIV,2011-01-11,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,413
100625,0,1625,DEF,DEF,FESF,EUREX,"Euro STOXX Financial Services",,Settlement,"",1,0.5,50,EUR,"EUR 50 x Index","points",1,0.5,IIVIIVIIVIIV,2011-01-11,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,0
100626,0,1626,DJL,DJL,FSTL,EUREX,"STOXX Europe 600 Real Estate",,Settlement,"",1,0.5,50,EUR,"EUR 50 x Index","points",1,0.5,IIVIIVIIVIIV,2011-01-11,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,1228
100627,0,1627,DEL,DEL,FESL,EUREX,"Euro STOXX Real Estate",,Settlement,"",1,0.5,50,EUR,"EUR 50 x Index","points",1,0.5,IIVIIVIIVIIV,2011-01-11,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,56
100628,0,1628,DJN,DJN,FSTN,EUREX,"STOXX Europe 600 Construction",,Settlement,"",1,0.5,50,EUR,"EUR 50 x Index","points",1,0.5,IIVIIVIIVIIV,2011-01-11,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,58
100629,0,1629,DE4,DE4,FESN,EUREX,"Euro STOXX Construction",,Settlement,"",1,0.5,50,EUR,"EUR 50 x Index","points",1,0.5,IIVIIVIIVIIV,2011-01-11,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,16
100630,0,1630,DJO,DJO,FSTO,EUREX,"STOXX Europe 600 Food & Beverage",,Settlement,"",1,0.5,50,EUR,"EUR 50 x Index","points",1,0.5,IIVIIVIIVIIV,2011-01-11,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,1123
100631,0,1631,DEO,DEO,FESO,EUREX,"Euro STOXX Food & Beverage",,Settlement,"",1,0.5,50,EUR,"EUR 50 x Index","points",1,0.5,IIVIIVIIVIIV,2011-01-11,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,48
100632,0,1632,DJR,DJR,FSTR,EUREX,"STOXX Europe 600 Retail",,Settlement,"",1,0.5,50,EUR,"EUR 50 x Index","points",1,0.5,IIVIIVIIVIIV,2011-01-11,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,12
100633,0,1633,DER,DER,FESR,EUREX,"Euro STOXX Retail",,Settlement,"",1,0.5,50,EUR,"EUR 50 x Index","points",1,0.5,IIVIIVIIVIIV,2011-01-11,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,1
100634,0,1634,DJT,DJT,FSTT,EUREX,"STOXX Europe 600 Telcom",,Settlement,"",1,0.5,50,EUR,"EUR 50 x Index","points",1,0.5,IIVIIVIIVIIV,2011-01-11,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,6986
